Categoria,Gasto,Recomendacion
Alimentos,Café diario,Compra una cafetera y prepara tu café en casa.
Alimentos,Snacks en la oficina,Lleva snacks saludables desde casa para evitar compras innecesarias.
Alimentos,Comida rápida,Planifica y prepara tus comidas con antelación.
Alimentos,Bebidas azucaradas,Opta por agua o bebidas caseras.
Transporte,Uso excesivo de taxis,Usa el transporte público o comparte viajes con amigos.
Transporte,Alquiler de scooters,Invierte en una bicicleta propia si es viable.
Transporte,Gasolina innecesaria,Planifica rutas y evita viajes innecesarios.
Ocio,Suscripciones que no usas,Cancela las que no usas y revisa tus pagos recurrentes.
Ocio,Compras impulsivas en línea,Establece un presupuesto mensual y haz listas de compras.
Ocio,Juegos de azar,Evita aplicaciones de apuestas y establece límites.
Salud,Suplementos innecesarios,Consulta con un especialista si realmente los necesitas.
Salud,Medicinas sin receta frecuentes,Consulta con un médico antes de automedicarte.
Salud,Bebidas energéticas,Opta por hábitos de vida más saludables para mantener energía.
